movieId,title,genres
8,Tom and Huck (1995),Adventure|Children
18,Four Rooms (1995),Comedy
24,Powder (1995),Drama|Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance
27,Now and Then (1995),Children|Drama
43,Restoration (1995),Drama
69,Friday (1995),Comedy
72,Kicking and Screaming (1995),Comedy|Drama
89,Nick of Time (1995),Action|Thriller
92,Mary Reilly (1996),Drama|Horror|Thriller
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
129,Pie in the Sky (1996),Comedy|Romance
158,Casper (1995),Adventure|Children
161,Crimson Tide (1995),Drama|Thriller|War
163,Desperado (1995),Action|Romance|Western
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
177,Lord of Illusions (1995),Horror
184,Nadja (1994),Drama
196,Species (1995),Horror|Sci-Fi
201,Three Wishes (1995),Drama|Fantasy
207,"Walk in the Clouds, A (1995)",Drama|Romance
210,Wild Bill (1995),Western
211,"Browning Version, The (1994)",Drama
240,Hideaway (1995),Thriller
241,Fluke (1995),Children|Drama
254,Jefferson in Paris (1995),Drama
257,Just Cause (1995),Mystery|Thriller
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
276,Milk Money (1994),Comedy|Romance
285,Beyond Bedlam (1993),Drama|Horror
294,"Perez Family, The (1995)",Comedy|Romance
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
299,Priest (1994),Drama
318,"Shawshank Redemption, The (1994)",Crime|Drama
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
340,"War, The (1994)",Adventure|Drama|War
362,"Jungle Book, The (1994)",Adventure|Children|Romance
370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
371,"Paper, The (1994)",Comedy|Drama
382,Wolf (1994),Drama|Horror|Romance|Thriller
415,Another Stakeout (1993),Comedy|Thriller
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller
433,Clean Slate (1994),Comedy
457,"Fugitive, The (1993)",Thriller
458,Geronimo: An American Legend (1993),Drama|Western
460,Getting Even with Dad (1994),Comedy
